Id,Label,SOC_Major,SOC_Group
17-2199.10,Wind Energy Engineers,17,Architecture & Engineering
17-2199.11,Solar Energy Systems Engineers,17,Architecture & Engineering
17-3011.00,Architectural and Civil Drafters,17,Architecture & Engineering
17-3012.00,Electrical and Electronics Drafters,17,Architecture & Engineering
17-3022.00,Civil Engineering Technologists and Technicians,17,Architecture & Engineering
19-1011.00,Animal Scientists,19,"Life, Physical & Social Science"
19-1012.00,Food Scientists and Technologists,19,"Life, Physical & Social Science"
19-1013.00,Soil and Plant Scientists,19,"Life, Physical & Social Science"
19-1022.00,Microbiologists,19,"Life, Physical & Social Science"
19-1023.00,Zoologists and Wildlife Biologists,19,"Life, Physical & Social Science"
19-1029.01,Bioinformatics Scientists,19,"Life, Physical & Social Science"
19-1029.02,Molecular and Cellular Biologists,19,"Life, Physical & Social Science"
19-1029.03,Geneticists,19,"Life, Physical & Social Science"
19-1029.04,Biologists,19,"Life, Physical & Social Science"
19-1031.00,Conservation Scientists,19,"Life, Physical & Social Science"
19-1031.02,Range Managers,19,"Life, Physical & Social Science"
19-1031.03,Park Naturalists,19,"Life, Physical & Social Science"
19-1041.00,Epidemiologists,19,"Life, Physical & Social Science"
19-1042.00,"Medical Scientists, Except Epidemiologists",19,"Life, Physical & Social Science"
19-2011.00,Astronomers,19,"Life, Physical & Social Science"
19-2012.00,Physicists,19,"Life, Physical & Social Science"
19-2021.00,Atmospheric and Space Scientists,19,"Life, Physical & Social Science"
19-2032.00,Materials Scientists,19,"Life, Physical & Social Science"
19-2041.00,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical & Social Science"
19-2041.01,Climate Change Policy Analysts,19,"Life, Physical & Social Science"
19-2041.02,Environmental Restoration Planners,19,"Life, Physical & Social Science"
19-2041.03,Industrial Ecologists,19,"Life, Physical & Social Science"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19,"Life, Physical & Social Science"
19-2099.01,Remote Sensing Scientists and Technologists,19,"Life, Physical & Social Science"
19-3011.00,Economists,19,"Life, Physical & Social Science"
19-3011.01,Environmental Economists,19,"Life, Physical & Social Science"
19-3022.00,Survey Researchers,19,"Life, Physical & Social Science"
19-3032.00,Industrial-Organizational Psychologists,19,"Life, Physical & Social Science"
19-3033.00,Clinical and Counseling Psychologists,19,"Life, Physical & Social Science"
19-3034.00,School Psychologists,19,"Life, Physical & Social Science"
19-3039.02,Neuropsychologists,19,"Life, Physical & Social Science"
19-3039.03,Clinical Neuropsychologists,19,"Life, Physical & Social Science"
19-3041.00,Sociologists,19,"Life, Physical & Social Science"
19-3051.00,Urban and Regional Planners,19,"Life, Physical & Social Science"
19-3091.00,Anthropologists and Archeologists,19,"Life, Physical & Social Science"
19-3092.00,Geographers,19,"Life, Physical & Social Science"
19-3093.00,Historians,19,"Life, Physical & Social Science"
19-3094.00,Political Scientists,19,"Life, Physical & Social Science"
19-3099.01,Transportation Planners,19,"Life, Physical & Social Science"
19-4042.00,"Environmental Science and Protection Technicians, Including Health",19,"Life, Physical & Social Science"
19-4061.00,Social Science Research Assistants,19,"Life, Physical & Social Science"
19-4092.00,Forensic Science Technicians,19,"Life, Physical & Social Science"
19-5012.00,Occupational Health and Safety Technicians,19,"Life, Physical & Social Science"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21,Community & Social Service
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21,Community & Social Service
21-1013.00,Marriage and Family Therapists,21,Community & Social Service
21-1014.00,Mental Health Counselors,21,Community & Social Service
21-1015.00,Rehabilitation Counselors,21,Community & Social Service
21-1021.00,"Child, Family, and School Social Workers",21,Community & Social Service
21-1022.00,Healthcare Social Workers,21,Community & Social Service
21-1023.00,Mental Health and Substance Abuse Social Workers,21,Community & Social Service
21-1091.00,Health Education Specialists,21,Community & Social Service
21-1092.00,Probation Officers and Correctional Treatment Specialists,21,Community & Social Service
21-1093.00,Social and Human Service Assistants,21,Community & Social Service
21-1094.00,Community Health Workers,21,Community & Social Service
21-2011.00,Clergy,21,Community & Social Service
21-2021.00,"Directors, Religious Activities and Education",21,Community & Social Service
23-1011.00,Lawyers,23,Legal
23-1012.00,Judicial Law Clerks,23,Legal
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23,Legal
23-1022.00,"Arbitrators, Mediators, and Conciliators",23,Legal
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23,Legal
23-2011.00,Paralegals and Legal Assistants,23,Legal
23-2093.00,"Title Examiners, Abstractors, and Searchers",23,Legal
25-1011.00,"Business Teachers, Postsecondary",25,Education
25-1021.00,"Computer Science Teachers, Postsecondary",25,Education
25-1022.00,"Mathematical Science Teachers, Postsecondary",25,Education
25-1031.00,"Architecture Teachers, Postsecondary",25,Education
25-1032.00,"Engineering Teachers, Postsecondary",25,Education
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25,Education
25-1042.00,"Biological Science Teachers, Postsecondary",25,Education
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25,Education
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,Education
25-1052.00,"Chemistry Teachers, Postsecondary",25,Education
25-1053.00,"Environmental Science Teachers, Postsecondary",25,Education
25-1054.00,"Physics Teachers, Postsecondary",25,Education
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25,Education
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,Education
25-1063.00,"Economics Teachers, Postsecondary",25,Education
25-1064.00,"Geography Teachers, Postsecondary",25,Education
25-1065.00,"Political Science Teachers, Postsecondary",25,Education
25-1066.00,"Psychology Teachers, Postsecondary",25,Education
25-1067.00,"Sociology Teachers, Postsecondary",25,Education
25-1071.00,"Health Specialties Teachers, Postsecondary",25,Education
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25,Education
25-1081.00,"Education Teachers, Postsecondary",25,Education
25-1082.00,"Library Science Teachers, Postsecondary",25,Education
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25,Education
25-1112.00,"Law Teachers, Postsecondary",25,Education
25-1113.00,"Social Work Teachers, Postsecondary",25,Education
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25,Education
25-1122.00,"Communications Teachers, Postsecondary",25,Education
25-1123.00,"English Language and Literature Teachers, Postsecondary",25,Education
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25,Education
25-1125.00,"History Teachers, Postsecondary",25,Education
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25,Education
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25,Education
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25,Education
25-1194.00,"Career/Technical Education Teachers, Postsecondary",25,Education
