Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
13-1121.00,"Meeting, Convention, and Event Planners",13,Business & Financial,0,10,0.238672,0.272545,0.000439,5
13-1131.00,Fundraisers,13,Business & Financial,2,9,0.291693,0.339248,0.008242,11
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13,Business & Financial,2,9,0.328976,0.39775,0.016296,30
13-1151.00,Training and Development Specialists,13,Business & Financial,6,10,0.300398,0.372653,0.004415,31
13-1161.00,Market Research Analysts and Marketing Specialists,13,Business & Financial,2,9,0.317227,0.380287,0.014807,24
13-1161.01,Search Marketing Strategists,13,Business & Financial,2,9,0.263525,0.303494,0.010791,8
13-1199.04,Business Continuity Planners,13,Business & Financial,2,10,0.262153,0.308291,0.00484,14
13-1199.05,Sustainability Specialists,13,Business & Financial,2,9,0.356693,0.424345,0.066788,29
13-1199.06,Online Merchants,13,Business & Financial,2,10,0.232189,0.261303,0,3
13-1199.07,Security Management Specialists,13,Business & Financial,2,11,0.218946,0.245461,0.006583,3
13-2011.00,Accountants and Auditors,13,Business & Financial,2,8,0.334071,0.399191,0.031492,34
13-2022.00,Appraisers of Personal and Business Property,13,Business & Financial,2,8,0.285985,0.330997,0.001316,14
13-2023.00,Appraisers and Assessors of Real Estate,13,Business & Financial,14,8,0.288903,0.332668,0.006626,13
13-2031.00,Budget Analysts,13,Business & Financial,2,10,0.233505,0.265108,0.000245,6
13-2041.00,Credit Analysts,13,Business & Financial,2,10,0.222059,0.241657,0,1
13-2052.00,Personal Financial Advisors,13,Business & Financial,2,9,0.282948,0.328802,0.001021,11
13-2053.00,Insurance Underwriters,13,Business & Financial,2,8,0.345274,0.420493,0.033108,42
13-2061.00,Financial Examiners,13,Business & Financial,2,9,0.293394,0.333829,0.000994,8
13-2071.00,Credit Counselors,13,Business & Financial,2,8,0.31879,0.370588,0.00499,16
13-2072.00,Loan Officers,13,Business & Financial,2,9,0.289457,0.337556,0.000495,14
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13,Business & Financial,2,8,0.306495,0.360675,0.007872,22
13-2082.00,Tax Preparers,13,Business & Financial,2,8,0.280669,0.325901,0.001596,14
13-2099.01,Financial Quantitative Analysts,13,Business & Financial,2,10,0.240064,0.273305,0.003452,6
13-2099.04,"Fraud Examiners, Investigators and Analysts",13,Business & Financial,2,9,0.297439,0.349255,0.001315,15
15-1211.01,Health Informatics Specialists,15,Computer & Math,4,10,0.209045,0.229871,0.00659,3
15-1243.00,Database Architects,15,Computer & Math,3,1,1,1,0,1
15-1243.01,Data Warehousing Specialists,15,Computer & Math,3,1,1,1,0,1
15-1299.03,Document Management Specialists,15,Computer & Math,2,10,0.250692,0.282335,0.000134,6
15-1299.09,Information Technology Project Managers,15,Computer & Math,2,11,0.241729,0.276287,0.000262,7
15-2011.00,Actuaries,15,Computer & Math,2,10,0.243942,0.275266,0.000802,5
15-2021.00,Mathematicians,15,Computer & Math,5,15,0.127858,0.138837,0,2
15-2031.00,Operations Research Analysts,15,Computer & Math,5,15,0.127858,0.138837,0,2
15-2041.00,Statisticians,15,Computer & Math,5,15,0.127894,0.13994,0.000004,3
15-2041.01,Biostatisticians,15,Computer & Math,5,14,0.146507,0.163042,0.009856,4
15-2051.01,Business Intelligence Analysts,15,Computer & Math,2,9,0.285264,0.330539,0.007294,12
17-1011.00,"Architects, Except Landscape and Naval",17,Architecture & Engineering,5,12,0.1852,0.200578,0.003299,2
17-1012.00,Landscape Architects,17,Architecture & Engineering,5,13,0.156315,0.165647,0,1
17-1021.00,Cartographers and Photogrammetrists,17,Architecture & Engineering,2,9,0.280669,0.313502,0.000242,4
17-2011.00,Aerospace Engineers,17,Architecture & Engineering,5,12,0.176815,0.192434,0,1
17-2051.02,Water/Wastewater Engineers,17,Architecture & Engineering,5,12,0.197214,0.226104,0.001089,6
17-2081.00,Environmental Engineers,17,Architecture & Engineering,5,10,0.290013,0.344158,0.045895,19
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17,Architecture & Engineering,5,10,0.282419,0.315681,0.009807,6
17-2112.01,Human Factors Engineers and Ergonomists,17,Architecture & Engineering,5,11,0.214692,0.244569,0.005326,4
17-2112.02,Validation Engineers,17,Architecture & Engineering,5,12,0.209238,0.243146,0.000884,6
17-2131.00,Materials Engineers,17,Architecture & Engineering,5,13,0.175786,0.195445,0,1
17-2141.02,Automotive Engineers,17,Architecture & Engineering,5,12,0.18149,0.205652,0.000058,4
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17,Architecture & Engineering,5,12,0.193342,0.215663,0,1
17-2171.00,Petroleum Engineers,17,Architecture & Engineering,5,11,0.2265,0.251704,0,2
17-2199.03,"Energy Engineers, Except Wind and Solar",17,Architecture & Engineering,5,11,0.234472,0.276023,0.007338,11
17-2199.06,Microsystems Engineers,17,Architecture & Engineering,5,12,0.201423,0.232043,0.000003,4
17-2199.10,Wind Energy Engineers,17,Architecture & Engineering,5,12,0.195511,0.225891,0.000397,6
