Source,Target,Type,Id,Label,Weight
11-2022.00,11-9071.00,Undirected,59819,,0.9581
11-2022.00,11-9072.00,Undirected,59820,,0.957
11-2022.00,11-9111.00,Undirected,59821,,0.9642
11-2022.00,11-9151.00,Undirected,59822,,0.9643
11-2022.00,11-9161.00,Undirected,59823,,0.9676
11-2022.00,13-1081.00,Undirected,59824,,0.9628
11-2022.00,13-1131.00,Undirected,59825,,0.9537
11-2022.00,21-2011.00,Undirected,59826,,0.9507
11-2022.00,27-2041.00,Undirected,59827,,0.9623
11-2022.00,41-1011.00,Undirected,59828,,0.9599
11-2022.00,41-1012.00,Undirected,59829,,0.9747
11-2022.00,41-3031.00,Undirected,59830,,0.955
11-2033.00,11-3031.00,Undirected,59831,,0.9694
11-2033.00,11-3031.03,Undirected,59832,,0.9512
11-2033.00,11-3111.00,Undirected,59833,,0.9506
11-2033.00,13-1075.00,Undirected,59834,,0.9529
11-2033.00,13-1131.00,Undirected,59835,,0.9737
11-2033.00,13-1199.06,Undirected,59836,,0.9722
11-2033.00,13-2053.00,Undirected,59837,,0.9528
11-2033.00,41-3031.00,Undirected,59838,,0.9673
11-2033.00,43-3061.00,Undirected,59839,,0.9541
11-3012.00,11-3061.00,Undirected,59840,,0.9607
11-3012.00,11-3071.00,Undirected,59841,,0.955
11-3012.00,11-9072.00,Undirected,59842,,0.9563
11-3012.00,11-9131.00,Undirected,59843,,0.9677
11-3012.00,11-9199.10,Undirected,59844,,0.9505
11-3012.00,13-1121.00,Undirected,59845,,0.9505
11-3012.00,27-1022.00,Undirected,59846,,0.958
11-3012.00,27-2012.00,Undirected,59847,,0.9573
11-3012.00,27-2012.03,Undirected,59848,,0.9621
11-3012.00,43-1011.00,Undirected,59849,,0.9521
11-3013.00,11-9199.09,Undirected,59850,,0.9557
11-3013.00,33-1021.00,Undirected,59851,,0.9541
11-3013.00,33-1091.00,Undirected,59852,,0.9561
11-3013.01,11-9031.00,Undirected,59853,,0.9576
11-3013.01,11-9072.00,Undirected,59854,,0.9619
11-3013.01,11-9081.00,Undirected,59855,,0.9508
11-3013.01,11-9199.10,Undirected,59856,,0.9527
11-3013.01,13-1121.00,Undirected,59857,,0.9523
11-3013.01,27-2012.00,Undirected,59858,,0.958
11-3013.01,33-1091.00,Undirected,59859,,0.957
11-3013.01,41-1012.00,Undirected,59860,,0.9517
11-3031.00,11-3031.03,Undirected,59861,,0.9661
11-3031.00,11-3061.00,Undirected,59862,,0.9558
11-3031.00,11-3111.00,Undirected,59863,,0.9629
11-3031.00,11-3121.00,Undirected,59864,,0.9655
11-3031.00,11-9031.00,Undirected,59865,,0.9613
11-3031.00,11-9033.00,Undirected,59866,,0.9641
11-3031.00,11-9071.00,Undirected,59867,,0.9659
11-3031.00,11-9072.00,Undirected,59868,,0.9545
11-3031.00,11-9199.10,Undirected,59869,,0.961
11-3031.00,13-1041.08,Undirected,59870,,0.9687
11-3031.00,13-1199.06,Undirected,59871,,0.9589
11-3031.00,13-2011.00,Undirected,59872,,0.9774
11-3031.00,13-2053.00,Undirected,59873,,0.9545
11-3031.00,13-2072.00,Undirected,59874,,0.9545
11-3031.00,13-2099.04,Undirected,59875,,0.9509
11-3031.00,41-1012.00,Undirected,59876,,0.9647
11-3031.00,41-3031.00,Undirected,59877,,0.9699
11-3031.00,43-3031.00,Undirected,59878,,0.9563
11-3031.00,43-3061.00,Undirected,59879,,0.9673
11-3031.00,43-4011.00,Undirected,59880,,0.9562
11-3031.00,43-4041.00,Undirected,59881,,0.9588
11-3031.01,11-3031.03,Undirected,59882,,0.9676
11-3031.01,11-3111.00,Undirected,59883,,0.9544
11-3031.01,13-1051.00,Undirected,59884,,0.9702
11-3031.01,13-2031.00,Undirected,59885,,0.9728
11-3031.01,41-3031.00,Undirected,59886,,0.9524
11-3031.03,11-3111.00,Undirected,59887,,0.9673
11-3031.03,11-9033.00,Undirected,59888,,0.9508
11-3031.03,13-1041.07,Undirected,59889,,0.9516
11-3031.03,13-1041.08,Undirected,59890,,0.9771
11-3031.03,13-1051.00,Undirected,59891,,0.9638
11-3031.03,13-1081.02,Undirected,59892,,0.9623
11-3031.03,13-1141.00,Undirected,59893,,0.9592
11-3031.03,13-1161.01,Undirected,59894,,0.9632
11-3031.03,13-1199.04,Undirected,59895,,0.9668
11-3031.03,13-2011.00,Undirected,59896,,0.9759
11-3031.03,13-2031.00,Undirected,59897,,0.9678
11-3031.03,13-2052.00,Undirected,59898,,0.9586
11-3031.03,13-2053.00,Undirected,59899,,0.9744
11-3031.03,13-2072.00,Undirected,59900,,0.9654
11-3031.03,13-2099.01,Undirected,59901,,0.957
11-3031.03,13-2099.04,Undirected,59902,,0.9565
11-3031.03,15-2051.01,Undirected,59903,,0.9506
11-3031.03,25-4012.00,Undirected,59904,,0.9555
11-3031.03,41-3031.00,Undirected,59905,,0.9766
11-3031.03,43-4011.00,Undirected,59906,,0.9511
11-3051.02,11-3051.04,Undirected,59907,,0.9672
11-3051.02,11-9013.00,Undirected,59908,,0.9587
11-3051.04,11-9013.00,Undirected,59909,,0.9566
11-3061.00,11-3071.00,Undirected,59910,,0.9535
11-3061.00,11-3071.04,Undirected,59911,,0.9673
11-3061.00,11-3121.00,Undirected,59912,,0.9521
11-3061.00,11-9031.00,Undirected,59913,,0.9643
11-3061.00,11-9071.00,Undirected,59914,,0.9598
11-3061.00,11-9111.00,Undirected,59915,,0.9512
11-3061.00,11-9131.00,Undirected,59916,,0.9625
11-3061.00,11-9199.10,Undirected,59917,,0.956
11-3061.00,15-1299.09,Undirected,59918,,0.9548
11-3061.00,27-1022.00,Undirected,59919,,0.9509
11-3061.00,41-1011.00,Undirected,59920,,0.9599
11-3061.00,41-1012.00,Undirected,59921,,0.9682
11-3061.00,43-1011.00,Undirected,59922,,0.9612
11-3071.00,11-3071.04,Undirected,59923,,0.9595
11-3071.00,11-9031.00,Undirected,59924,,0.9584
11-3071.00,11-9032.00,Undirected,59925,,0.9506
11-3071.00,11-9071.00,Undirected,59926,,0.9543
11-3071.00,11-9072.00,Undirected,59927,,0.9593
11-3071.00,11-9081.00,Undirected,59928,,0.9647
11-3071.00,11-9179.02,Undirected,59929,,0.9582
11-3071.00,11-9199.08,Undirected,59930,,0.9764
11-3071.00,27-2012.00,Undirected,59931,,0.9507
11-3071.00,41-1012.00,Undirected,59932,,0.96
11-3071.00,43-1011.00,Undirected,59933,,0.9629
11-3071.04,13-1081.00,Undirected,59934,,0.9593
11-3071.04,15-1299.09,Undirected,59935,,0.9543
11-3071.04,41-1012.00,Undirected,59936,,0.9534
11-3111.00,11-3121.00,Undirected,59937,,0.9703
11-3111.00,13-1141.00,Undirected,59938,,0.9561
11-3111.00,13-1199.04,Undirected,59939,,0.9547
11-3111.00,27-2041.00,Undirected,59940,,0.961
11-3111.00,41-3031.00,Undirected,59941,,0.9665
11-3121.00,11-3131.00,Undirected,59942,,0.9603
11-3121.00,11-9031.00,Undirected,59943,,0.9669
11-3121.00,11-9032.00,Undirected,59944,,0.9637
11-3121.00,11-9033.00,Undirected,59945,,0.9766
11-3121.00,11-9071.00,Undirected,59946,,0.9583
11-3121.00,11-9072.00,Undirected,59947,,0.9555
11-3121.00,11-9111.00,Undirected,59948,,0.9546
11-3121.00,11-9151.00,Undirected,59949,,0.9663
11-3121.00,11-9161.00,Undirected,59950,,0.9622
11-3121.00,13-1041.08,Undirected,59951,,0.9555
11-3121.00,13-1075.00,Undirected,59952,,0.954
11-3121.00,13-1081.00,Undirected,59953,,0.9543
11-3121.00,13-1141.00,Undirected,59954,,0.9532
