Source,Target,Weight
11-3031.00,11-9071.00,0.9659
11-3031.00,11-9072.00,0.9545
11-3031.00,11-9199.10,0.961
11-3031.00,13-1041.08,0.9687
11-3031.00,13-1199.06,0.9589
11-3031.00,13-2011.00,0.9774
11-3031.00,13-2053.00,0.9545
11-3031.00,13-2072.00,0.9545
11-3031.00,13-2099.04,0.9509
11-3031.00,41-1012.00,0.9647
11-3031.00,41-3031.00,0.9699
11-3031.00,43-3031.00,0.9563
11-3031.00,43-3061.00,0.9673
11-3031.00,43-4011.00,0.9562
11-3031.00,43-4041.00,0.9588
11-3031.01,11-3031.03,0.9676
11-3031.01,11-3111.00,0.9544
11-3031.01,13-1051.00,0.9702
11-3031.01,13-2031.00,0.9728
11-3031.01,41-3031.00,0.9524
11-3031.03,11-3111.00,0.9673
11-3031.03,11-9033.00,0.9508
11-3031.03,13-1041.07,0.9516
11-3031.03,13-1041.08,0.9771
11-3031.03,13-1051.00,0.9638
11-3031.03,13-1081.02,0.9623
11-3031.03,13-1141.00,0.9592
11-3031.03,13-1161.01,0.9632
11-3031.03,13-1199.04,0.9668
11-3031.03,13-2011.00,0.9759
11-3031.03,13-2031.00,0.9678
11-3031.03,13-2052.00,0.9586
11-3031.03,13-2053.00,0.9744
11-3031.03,13-2072.00,0.9654
11-3031.03,13-2099.01,0.957
11-3031.03,13-2099.04,0.9565
11-3031.03,15-2051.01,0.9506
11-3031.03,25-4012.00,0.9555
11-3031.03,41-3031.00,0.9766
11-3031.03,43-4011.00,0.9511
11-3051.02,11-3051.04,0.9672
11-3051.02,11-9013.00,0.9587
11-3051.04,11-9013.00,0.9566
11-3061.00,11-3071.00,0.9535
11-3061.00,11-3071.04,0.9673
11-3061.00,11-3121.00,0.9521
11-3061.00,11-9031.00,0.9643
11-3061.00,11-9071.00,0.9598
11-3061.00,11-9111.00,0.9512
11-3061.00,11-9131.00,0.9625
11-3061.00,11-9199.10,0.956
11-3061.00,15-1299.09,0.9548
11-3061.00,27-1022.00,0.9509
11-3061.00,41-1011.00,0.9599
11-3061.00,41-1012.00,0.9682
11-3061.00,43-1011.00,0.9612
11-3071.00,11-3071.04,0.9595
11-3071.00,11-9031.00,0.9584
11-3071.00,11-9032.00,0.9506
11-3071.00,11-9071.00,0.9543
11-3071.00,11-9072.00,0.9593
11-3071.00,11-9081.00,0.9647
11-3071.00,11-9179.02,0.9582
11-3071.00,11-9199.08,0.9764
11-3071.00,27-2012.00,0.9507
11-3071.00,41-1012.00,0.96
11-3071.00,43-1011.00,0.9629
